paris,blue
chicago,blue
madrid,blue
essen,blue
london,blue
newYork,blue
washington,blue
sanFrancisco,blue
montreal,blue
atlanta,blue
milan,blue
stPetersburg,blue
bogota,yellow
mexicoCity,yellow
khartoum,yellow
saoPaulo,yellow
miami,yellow
losAngeles,yellow
kinshasa,yellow
lagos,yellow
lima,yellow
buenosAires,yellow
johannesburg,yellow
santiago,yellow
istanbul,black
baghdad,black
delhi,black
karachi,black
cairo,black
chennai,black
tehran,black
algiers,black
kolkata,black
mumbai,black
riyadh,black
moscow,black
hongKong,red
shanghai,red
manila,red
bangkok,red
hoChiMinhCity,red
taipei,red
jakarta,red
tokyo,red
seoul,red
sydney,red
beijing,red
osaka,red
